"Gene"
"CA7"
"BEST4"
"KRT80"
"GUCA2B"
"CA1"
"TMIGD1"
"SPIB"
"AQP8"
"OTOP2"
"CLCA4"
"MYOC"
"KRT24"
"INHBA"
"WNT2"
"ESM1"
"MMP1"
"ETV4"
"MMP7"
"OTOP3"
"CLDN1"
