"Gene"
"OTOP2"
"OTOP3"
"BEST4"
"CA7"
"SPIB"
"GUCA2B"
"CLCA4-AS1"
"KRT24"
"TMIGD1"
"LOC105369724"
"LINC00974"
"FAM135B"
"VSTM2A"
"ALPI"
"MYOC"
"SCARA5"
"CLCA4"
"CDKN2B-AS1"
"LOC105376993"
"LGI1"
"CA4"
"NPY"
"LINC02000"
"GLP2R"
"ARHGAP15-AS1"
"LOC107985747"
"AQP8"
"TEX11"
"RSPO2"
"MS4A12"
"TMEM72"
"ENPP6"
"HRK"
"PCSK2"
"TNFRSF13B"
"GUCA2A"
"LINC00092"
"LOC105376567"
"BMP3"
"C11orf86"
"USP2"
"MUSK"
"CA1"
"SLC51B"
"SLC27A6"
"LHFPL4"
"AKAP19"
"CWH43"
"LUZP2"
"LAMA1"
