"Gene"
"CA7"
"KRT80"
"BEST4"
"GUCA2B"
"CA1"
"SPIB"
"TMIGD1"
"OTOP2"
"AQP8"
"CLCA4"
"MYOC"
"KRT24"
"INHBA"
"WNT2"
"ESM1"
"ETV4"
"MMP7"
"CLDN1"
"FOXQ1"
"GUCA2A"
