"Gene"
"OTOP3"
"BEST4"
"OTOP2"
"CA7"
"SPIB"
"BMAL2"
"CLDN1"
"CLCA4-AS1"
"MS4A10"
"PEX26"
"INHBA"
"ETV4"
"KRT24"
"GUCA2B"
"MATCAP2"
"CA4"
"MYOC"
"LOC105369724"
"FAM135B"
"CLCA4"
"LINC00974"
"WNT2"
"CGREF1"
"CLEC5A"
"LOC105376993"
"CDC14A"
"FJX1"
"TMIGD1"
"PELATON"
"TEAD4"
"PNO1"
"GLTP"
"KRT80"
"TNFRSF12A"
"CA1"
"FAP"
"CCNYL1"
"CBLL1"
"GLP2R"
"PHLPP2"
"APPL2"
"TNFRSF13B"
"HECW2"
"LGI1"
"AQP8"
"TP53INP2"
"KIAA2012"
"GART"
"ZZEF1"
"ALPI"
"CLDN23"
"MTHFD1L"
"UTP4"
"MS4A12"
"SCARA5"
"GNG7"
"VSTM2A"
"ENPP6"
"TEX11"
"CCN4"
"NPY"
"SLC27A6"
"PLCD1"
"RELL1"
"CA2"
"CNNM2"
"ESM1"
"CFAP251"
"RSPO2"
"DHRS11"
"UNC5C"
"CDKN2B"
"CFD"
"ADAMTS2"
"ADAMTS12"
"LOC107985747"
"CHAT"
"HIGD1A"
"ZNF575"
"AMPD1"
"CCAT1"
"UBFD1"
"CCR8"
"SLC25A34"
"S100A11"
"LRRC7"
"SLC8A3"
"LAMA1"
"BYSL"
"SLC11A1"
"FUCA1"
"PCSK2"
"GUCA2A"
"STC2"
"EPOP"
"PPIL1"
"MILIP"
"CPNE5"
"CLEC3B"
"ABHD3"
"LOC100507002"
"GNA11"
"LZTS1"
"SPPL2A"
"OLR1"
"SMPDL3A"
"ABCG2"
"SLC17A7"
"NAAA"
"LDLRAD3"
"UNC5D"
"LUZP2"
"LHFPL4"
"CEMIP"
"ERFE"
"ZBTB7B"
"AVPR1B"
"AKAP19"
"SPECC1L"
"KIAA1549"
"FCGR1A"
"SGCG"
"COL19A1"
"MUSK"
"SPINK2"
"CDKN2B-AS1"
"GRAMD2B"
"RIOK3"
"SLC51B"
"EPHX4"
"SLC25A23"
"SLC36A1"
"AJUBA"
"CACNG8"
"VEGFD"
"WSCD1"
"SSB"
"GRIN2D"
"USP2"
"PKIB"
"KLHL35"
"LOC254896"
"ATP11A"
"SLC26A3"
"CSE1L"
"ELFN1"
"SLC26A2"
"KCTD9"
"KLF4"
"TBC1D27P"
"LOC105379189"
"BGN"
"ADAMDEC1"
"TMEM72"
"LRP8"
"SMIM5"
"COL4A1"
"PRECSIT"
"NAALADL1"
"ENAM-AS1"
"C11orf86"
"CTHRC1"
"ADAM12"
"TMEFF2"
"OGFOD1"
"PRKG2"
"EVA1A"
"NIHCOLE"
"SNTB1"
"LOC102724250"
"FAM89A"
"SLC4A4"
"SLC22A5"
"RIPK2"
"IGHA2"
"TRPM6"
"CA3-AS1"
"MALL"
"PTGER4"
"NOX4"
"GPR15"
"DUSP14"
"CCDC68"
"ARPIN-AP3S2"
"FCGR1CP"
"ATG9B"
"RERGL"
"IFITM3"
"PDE8A"
"NBPF1"
"LOC100286986"
"MRPL17"
"MET"
"PI16"
"PDCD4"
"GFI1B"
"PYY"
"LOC105376567"
"SNAI1"
"GGT8P"
"LYRM4-AS1"
"SALL4"
"TINCR"
"CEBPB"
"FCGR3A"
"ZER1"
"LOC105374309"
"MRGBP"
"ANK3"
"LOC105369515"
"HP09053"
"CD163L1"
"COL10A1"
"LINC00955"
"AHCYL2"
"PTK2B"
"TMEM151B"
"IQCN"
"GRHL1"
"PCDH17"
"P2RX1"
"LINC01614"
"VWC2"
"SULT1A2"
"PKD1L2"
"SPECC1L-ADORA2A"
"TMCC3"
"SLC35G1"
"TXNRD3"
"CDH3"
"MIR4680"
"MMP7"
"CDK2"
"CXCL8"
"CD177"
"TESK2"
"CEACAM7"
"SLCO4A1"
"MIER3"
"CMSS1"
"MIER1"
"EIF2S2"
"JCHAIN"
"SLC6A19"
"FKBP1A-SDCBP2"
"VAPA"
"INMT-MINDY4"
"EIF4E3"
"DARS1"
"MAP3K20-AS1"
"COL11A1"
"GDPD2"
"PRR7"
"TMEM123"
"HILPDA"
"ADAM28"
"ETHE1"
"CST2"
"LOC105377483"
"PLCL2"
"CNGB1"
"DCUN1D5"
"TENT5C"
"CDK4"
"POGLUT2"
"WDR43"
"LOC107986852"
"NUDCD1"
"ADGRB1"
"EPB41L3"
"CHP1"
"PAK1IP1"
"E2F6"
"PPA1"
"CAD"
"GARS1"
"LOC105373902"
"IRX3"
"POLR1A"
"PACSIN2"
"SST"
"SCGN"
"PRDX6"
"PTGDR2"
"SLC22A3"
"ENDOD1"
"PIANP"
"GNA13"
"GRINA"
"DNAH14"
"FEV"
"PLCE1"
"HPGD"
"NUFIP1"
"ACADS"
"CIPC"
"CCND1"
"ITGA8"
"BCL2"
"POLR2D"
"SEMA6D"
"TRPV3"
"METTL1"
"JADE3"
"C16orf89"
"LOC105375728"
"TBC1D16"
"SPATA12"
"SECTM1"
"ITGBL1"
"GPN3"
"CFAP263"
"SLC25A32"
"ZNF536"
"FCGR1BP"
"SLC17A4"
"LOC107985554"
"PTPN21"
"AHCY"
"LINC02023"
"CRACD"
"PRPF4"
"IL1R2"
"MINDY4"
"DGAT2"
"TGFBI"
"GPR180"
"BMP3"
"LOC102723635"
"IFT56"
"RNF152"
"KIF26B"
"XPOT"
"CASP7"
"MXD1"
"SDCBP2"
"STC1"
"RPP40"
"SLC30A4"
"ZFYVE28"
"IGHA1"
"STMN2"
"VAMP2"
"SPP1"
"FAM107A"
"CALU"
"TMEM131"
"THBS2"
"NIT2"
"DISP2"
"NOP58"
"LRRN2"
"TNFRSF17"
"LOC101927393"
"CPNE7"
"PRSS54"
"LOC105373335"
"HHLA2"
"P2RY4"
"SLC22A23"
"WDR75"
"LTK"
"CCT6A"
"PCSK5"
"TOMM6"
"TP53I3"
"GCG"
"SLC6A6"
"CBFB"
"ANKRD36BP2"
"P2RX4"
"NME1"
"CADM3"
"LOC105374588"
"TMEM127"
"PDE9A"
"PLP1"
"RRP12"
"PDE6A"
"MTM1"
"NR3C2"
"RXRG"
"LOC105378625"
"MXI1"
"XPO5"
"OXTR"
"ENTR1"
"MACC1-OT1"
"PPM1H"
"BBIP1"
"SPATA22"
"EIF5B"
"NIFK"
"PDCD4-AS1"
"NMD3"
"TLCD2"
"CASC19"
"PFDN6"
"SLC5A11"
"ACO2"
"IFRD2"
"CTPS1"
"HAUS6"
"FPR1"
"PAG1"
"TSPAN7"
"LNCMB3"
"HSD3B2"
"DPY19L1"
"MIR7844"
"USP31"
"TRIB3"
"CWH43"
"B3GALT1-AS1"
"LYPD8"
"C1orf115"
"LOC105378728"
"MPPE1"
"ZDHHC7"
"YTHDF1"
"MMP28"
"STMN4"
"CASD1"
"AQP9"
"GRIA4"
"GPAT3"
"MCEMP1"
"DKK2"
"PTN"
"DLEU7"
"CIBAR1"
"C2CD2L"
"ADCY5"
"SLC67A1-AS"
"RCAN2"
"CMA1"
"TLR3"
"EIF5A2"
"ZG16"
"SDHA"
"EPHB4"
"HPS1"
"CBLN2"
"LOC105374528"
"DPF3"
"ABCA5"
"SELE"
"STAP1"
"INPP5K"
"GTF2IRD1"
"SLCO4A1-AS1"
"CITED2"
"VARS1"
"MIR1182"
"CBX2"
"ANKRD13A"
"ADAMTS6"
"SCUBE1"
"ATP5F1A"
"AP3S2"
"TGFB2"
"STRIP2"
"RIMS4"
"ABI3BP"
"RPL7L1"
"HRCT1"
"GLRX3"
"PSMA2"
"TPD52L2"
"ESR2"
"HPSE2"
"PLCD3"
"MYO15B"
"EDN3"
"TREM1"
"PACC1"
"OGN"
"TLR9"
"ADAMTS4"
"TRANK1"
"MPI"
"CNTN2"
"LINC03124"
"EEF1E1"
"BTNL8"
"ZBTB7C"
"PMAIP1"
"TMEM37"
"CLPB"
"LOC105372412"
"GLO1"
"MAST2"
"NEK5"
"PRPH"
"INTS13"
"BLACAT1"
"RPGRIP1L"
"MDFI"
"CHSY3"
"LINC02418"
"TAFA2"
"KRT7-AS"
"JOSD1"
"SQOR"
"CBX3"
"PSMD14"
"SPTBN2"
"CCDC144NL-AS1"
"ULBP2"
"CCT4"
"CADM3-AS1"
"YY2"
"EIF3M"
"DSCC1"
"DKC1"
"PRDX4"
"SEC14L2"
"STRA6"
"IARS1"
"SSBP1"
"MORF4L2"
"P2RY1"
"HOMER1"
"DNAI4"
"DHDDS"
"CYB561A3"
"RGS16"
"MGLL"
"RCN1"
"LPAR1"
"NFE2L3"
"FOXQ1"
"PDX1"
"RNASE1"
"NELFCD"
"CD27"
"GCNT2"
"PDCD2L"
"HYAL2"
"ITM2A"
"FUT1"
"OLA1"
"DUSP26"
"MIDEAS"
"TIMP1"
"ANLN"
"GTPBP4"
"B3GALT1"
"TTYH3"
"FAM228B"
"MROH3P"
"CCNP"
"CILP2"
"PNOC"
"PSMA7"
"LGALS9C"
"CHGA"
"STRAP"
"CPNE8"
"SCNN1B"
"CEBPB-AS1"
"DCAF13"
"PSAT1"
"SH2D6"
"CNTN1"
"NSG2"
"PLAC8"
"SLC17A8"
"NRXN1"
"BRINP3"
"MSANTD3"
"CHI3L1"
"MPND"
"C1QTNF7"
"SHROOM4"
"CCNDBP1"
"POLB"
"ZNF469"
"GAB1"
"FPR2"
"ATP6V0D1"
"IGHJ3P"
"NPM1"
"LOC107986847"
"AKR1B10"
"RAE1"
"ECRG4"
"ATG4D"
"IGKV2D-18"
"FSIP2"
"ADTRP"
"LOC107985492"
"NAT10"
"LY9"
"IRF4"
"COMP"
"SPAG17"
"ENC1"
"RAN"
"CDH6"
"TDP2"
"CDKL1"
"LOC105373244"
"TMEM236"
"IPO5"
