"Gene"
"OTOP3"
"BEST4"
"OTOP2"
"CA7"
"SPIB"
"BMAL2"
"CLDN1"
"CLCA4-AS1"
"MS4A10"
"PEX26"
"INHBA"
"ETV4"
"KRT24"
"GUCA2B"
"MATCAP2"
"CA4"
"MYOC"
"LOC105369724"
"FAM135B"
"CLCA4"
