"Gene"
"CA7"
"BEST4"
"GUCA2B"
"KRT80"
"SPIB"
"CA1"
"TMIGD1"
"OTOP2"
"AQP8"
"CLCA4"
"MYOC"
"KRT24"
"INHBA"
"WNT2"
"ESM1"
"MMP1"
"OTOP3"
"COL11A1"
"COL10A1"
