"Gene"
"AQP8"
"BEST4"
"CA1"
"CA7"
"CLCA4"
"COL10A1"
"COL11A1"
"ESM1"
"GUCA2B"
"INHBA"
"KRT24"
"KRT80"
"MMP1"
"MYOC"
"OTOP2"
"OTOP3"
"SPIB"
"TMIGD1"
"WNT2"
