"Comparison","n_shared","genes"
"BIOS ∩ Joint_limma",20,"ABCA8;AJUBA;C2orf88;CCT3;CDH3;CEMIP;CLDN1;CSE1L;FOXQ1;GBA3;GTF2IRD1;GUCA2B;INHBA;LIFR;LOC100996643;S100A11;SLC7A5;SRM;TEAD4;VSTM2A"
"BIOS ∩ Paper_style_∩",3,"CDH3;FOXQ1;GUCA2B"
"Joint_limma ∩ Paper_style_∩",3,"CDH3;FOXQ1;GUCA2B"
