"Setting","MinMedian_cross_assay","Mean_Ep","Frac_Em","Frac_Es","Mean_Ec"
"BIOS_equal",0.923583605494175,0.99999832161533,1,0.8,0.717126879579881
"ONLY_Ec",0.930555555555556,0.999998892294879,0.95,0.5,0.799564083634679
"ONLY_Ep",0.918288050401872,0.999999209020756,0.95,0.4,0.716707166582785
"ONLY_Em",0.938491649873764,0.999996520769228,1,0.25,0.62673252450714
"ONLY_Es",0.91963727329581,0.999997030785145,1,0.95,0.612556956856313
"ONLY_Ex",0.949968730456536,0.999993866673223,0.65,0.2,0.469960911519018
"BIOS_best_Dirichlet",0.944705023973317,0.99999725123314,1,0.45,0.680413466275556
"Merged_limma_topk",0.883487654320988,0.999991072696349,0.4,0.1,0.361293077110514
