"Protocol","Med_AUC_RNA","w_Ec","w_Ep","w_Em","w_Es","w_Ex_train"
"ExTrain_equal",0.935185185185186,0.2,0.2,0.2,0.2,0.2
"ExTrain_locked",0.939814814814815,0.272593027005832,0.0132191904859726,0.14982884464699,0.194071670638638,0.370287267222567
"noEx_equal",0.939814814814815,0.25,0.25,0.25,0.25,NA
"noEx_locked",0.939814814814815,0.072815560616166,0.643128576663605,0.208912659469592,0.0751432032506373,NA
