"Scenario","Seed","Method","n_called","TP","FP","FN","Sensitivity","FDR","Precision","n_sep_A","n_sep_B","Jaccard_vs_intersect","n_only_in_joint_vs_intersect","TP_only_in_joint_vs_intersect","n_only_in_intersect_vs_joint","TP_only_in_intersect_vs_joint"
"balanced",92,"Joint_Condition_Platform_raw",92,86,6,14,0.86,0.0652173913043478,0.934782608695652,NA,NA,NA,NA,NA,NA,NA
"confounded",10043,"Separate_intersect",4,4,0,96,0.04,0,1,19,13,1,NA,NA,NA,NA
"confounded",10043,"Separate_union",28,28,0,72,0.28,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10043,"Joint_Condition_only_harmonized",34,34,0,66,0.34,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10043,"Joint_Condition_Platform_harmonized",71,69,2,31,0.69,0.028169014084507,0.971830985915493,NA,NA,0.0563380281690141,67,65,0,0
"confounded",10043,"Joint_Condition_only_raw",1970,70,1900,30,0.7,0.964467005076142,0.0355329949238579,NA,NA,NA,NA,NA,NA,NA
"confounded",10043,"Joint_Condition_Platform_raw",78,73,5,27,0.73,0.0641025641025641,0.935897435897436,NA,NA,NA,NA,NA,NA,NA
"confounded",10044,"Separate_intersect",4,4,0,96,0.04,0,1,14,19,1,NA,NA,NA,NA
"confounded",10044,"Separate_union",29,28,1,72,0.28,0.0344827586206897,0.96551724137931,NA,NA,NA,NA,NA,NA,NA
"confounded",10044,"Joint_Condition_only_harmonized",36,36,0,64,0.36,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10044,"Joint_Condition_Platform_harmonized",73,69,4,31,0.69,0.0547945205479452,0.945205479452055,NA,NA,0.0547945205479452,69,65,0,0
"confounded",10044,"Joint_Condition_only_raw",1980,80,1900,20,0.8,0.95959595959596,0.0404040404040404,NA,NA,NA,NA,NA,NA,NA
"confounded",10044,"Joint_Condition_Platform_raw",77,73,4,27,0.73,0.051948051948052,0.948051948051948,NA,NA,NA,NA,NA,NA,NA
"confounded",10045,"Separate_intersect",1,1,0,99,0.01,0,1,14,5,1,NA,NA,NA,NA
"confounded",10045,"Separate_union",18,18,0,82,0.18,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10045,"Joint_Condition_only_harmonized",34,34,0,66,0.34,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10045,"Joint_Condition_Platform_harmonized",67,63,4,37,0.63,0.0597014925373134,0.940298507462687,NA,NA,0.0149253731343284,66,62,0,0
"confounded",10045,"Joint_Condition_only_raw",1973,73,1900,27,0.73,0.963000506842372,0.036999493157628,NA,NA,NA,NA,NA,NA,NA
"confounded",10045,"Joint_Condition_Platform_raw",78,73,5,27,0.73,0.0641025641025641,0.935897435897436,NA,NA,NA,NA,NA,NA,NA
"confounded",10046,"Separate_intersect",4,4,0,96,0.04,0,1,9,12,1,NA,NA,NA,NA
"confounded",10046,"Separate_union",17,16,1,84,0.16,0.0588235294117647,0.941176470588235,NA,NA,NA,NA,NA,NA,NA
"confounded",10046,"Joint_Condition_only_harmonized",31,31,0,69,0.31,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10046,"Joint_Condition_Platform_harmonized",65,61,4,39,0.61,0.0615384615384615,0.938461538461538,NA,NA,0.0615384615384615,61,57,0,0
"confounded",10046,"Joint_Condition_only_raw",1979,79,1900,21,0.79,0.960080848913593,0.0399191510864073,NA,NA,NA,NA,NA,NA,NA
"confounded",10046,"Joint_Condition_Platform_raw",71,69,2,31,0.69,0.028169014084507,0.971830985915493,NA,NA,NA,NA,NA,NA,NA
"confounded",10047,"Separate_intersect",7,7,0,93,0.07,0,1,17,20,1,NA,NA,NA,NA
"confounded",10047,"Separate_union",30,29,1,71,0.29,0.0333333333333333,0.966666666666667,NA,NA,NA,NA,NA,NA,NA
"confounded",10047,"Joint_Condition_only_harmonized",33,33,0,67,0.33,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10047,"Joint_Condition_Platform_harmonized",87,81,6,19,0.81,0.0689655172413793,0.931034482758621,NA,NA,0.0804597701149425,80,74,0,0
"confounded",10047,"Joint_Condition_only_raw",1969,69,1900,31,0.69,0.964956830878619,0.0350431691213814,NA,NA,NA,NA,NA,NA,NA
"confounded",10047,"Joint_Condition_Platform_raw",95,86,9,14,0.86,0.0947368421052632,0.905263157894737,NA,NA,NA,NA,NA,NA,NA
"confounded",10048,"Separate_intersect",3,3,0,97,0.03,0,1,9,20,1,NA,NA,NA,NA
"confounded",10048,"Separate_union",26,26,0,74,0.26,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10048,"Joint_Condition_only_harmonized",40,40,0,60,0.4,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10048,"Joint_Condition_Platform_harmonized",64,64,0,36,0.64,0,1,NA,NA,0.046875,61,61,0,0
"confounded",10048,"Joint_Condition_only_raw",1973,73,1900,27,0.73,0.963000506842372,0.036999493157628,NA,NA,NA,NA,NA,NA,NA
"confounded",10048,"Joint_Condition_Platform_raw",73,72,1,28,0.72,0.0136986301369863,0.986301369863014,NA,NA,NA,NA,NA,NA,NA
"confounded",10049,"Separate_intersect",5,5,0,95,0.05,0,1,11,13,1,NA,NA,NA,NA
"confounded",10049,"Separate_union",19,19,0,81,0.19,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10049,"Joint_Condition_only_harmonized",24,24,0,76,0.24,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10049,"Joint_Condition_Platform_harmonized",73,70,3,30,0.7,0.0410958904109589,0.958904109589041,NA,NA,0.0684931506849315,68,65,0,0
"confounded",10049,"Joint_Condition_only_raw",1979,79,1900,21,0.79,0.960080848913593,0.0399191510864073,NA,NA,NA,NA,NA,NA,NA
"confounded",10049,"Joint_Condition_Platform_raw",78,76,2,24,0.76,0.0256410256410256,0.974358974358974,NA,NA,NA,NA,NA,NA,NA
"confounded",10050,"Separate_intersect",8,8,0,92,0.08,0,1,19,20,1,NA,NA,NA,NA
"confounded",10050,"Separate_union",31,28,3,72,0.28,0.0967741935483871,0.903225806451613,NA,NA,NA,NA,NA,NA,NA
"confounded",10050,"Joint_Condition_only_harmonized",42,42,0,58,0.42,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10050,"Joint_Condition_Platform_harmonized",75,74,1,26,0.74,0.0133333333333333,0.986666666666667,NA,NA,0.106666666666667,67,66,0,0
"confounded",10050,"Joint_Condition_only_raw",1975,75,1900,25,0.75,0.962025316455696,0.0379746835443038,NA,NA,NA,NA,NA,NA,NA
"confounded",10050,"Joint_Condition_Platform_raw",81,78,3,22,0.78,0.037037037037037,0.962962962962963,NA,NA,NA,NA,NA,NA,NA
"confounded",10051,"Separate_intersect",0,0,0,100,0,NA,NA,9,0,1,NA,NA,NA,NA
"confounded",10051,"Separate_union",9,9,0,91,0.09,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10051,"Joint_Condition_only_harmonized",28,28,0,72,0.28,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10051,"Joint_Condition_Platform_harmonized",71,70,1,30,0.7,0.0140845070422535,0.985915492957746,NA,NA,0,71,70,0,0
"confounded",10051,"Joint_Condition_only_raw",1975,75,1900,25,0.75,0.962025316455696,0.0379746835443038,NA,NA,NA,NA,NA,NA,NA
"confounded",10051,"Joint_Condition_Platform_raw",78,76,2,24,0.76,0.0256410256410256,0.974358974358974,NA,NA,NA,NA,NA,NA,NA
"confounded",10052,"Separate_intersect",0,0,0,100,0,NA,NA,1,0,1,NA,NA,NA,NA
"confounded",10052,"Separate_union",1,1,0,99,0.01,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10052,"Joint_Condition_only_harmonized",22,22,0,78,0.22,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10052,"Joint_Condition_Platform_harmonized",67,65,2,35,0.65,0.0298507462686567,0.970149253731343,NA,NA,0,67,65,0,0
"confounded",10052,"Joint_Condition_only_raw",1973,73,1900,27,0.73,0.963000506842372,0.036999493157628,NA,NA,NA,NA,NA,NA,NA
"confounded",10052,"Joint_Condition_Platform_raw",77,73,4,27,0.73,0.051948051948052,0.948051948051948,NA,NA,NA,NA,NA,NA,NA
"confounded",10053,"Separate_intersect",1,1,0,99,0.01,0,1,7,12,1,NA,NA,NA,NA
"confounded",10053,"Separate_union",18,17,1,83,0.17,0.0555555555555556,0.944444444444444,NA,NA,NA,NA,NA,NA,NA
"confounded",10053,"Joint_Condition_only_harmonized",20,20,0,80,0.2,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10053,"Joint_Condition_Platform_harmonized",66,63,3,37,0.63,0.0454545454545455,0.954545454545455,NA,NA,0.0151515151515152,65,62,0,0
"confounded",10053,"Joint_Condition_only_raw",1976,76,1900,24,0.76,0.961538461538462,0.0384615384615385,NA,NA,NA,NA,NA,NA,NA
"confounded",10053,"Joint_Condition_Platform_raw",72,68,4,32,0.68,0.0555555555555556,0.944444444444444,NA,NA,NA,NA,NA,NA,NA
"confounded",10054,"Separate_intersect",5,5,0,95,0.05,0,1,15,13,1,NA,NA,NA,NA
"confounded",10054,"Separate_union",23,23,0,77,0.23,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10054,"Joint_Condition_only_harmonized",36,36,0,64,0.36,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10054,"Joint_Condition_Platform_harmonized",79,76,3,24,0.76,0.0379746835443038,0.962025316455696,NA,NA,0.0632911392405063,74,71,0,0
"confounded",10054,"Joint_Condition_only_raw",1973,73,1900,27,0.73,0.963000506842372,0.036999493157628,NA,NA,NA,NA,NA,NA,NA
"confounded",10054,"Joint_Condition_Platform_raw",84,80,4,20,0.8,0.0476190476190476,0.952380952380952,NA,NA,NA,NA,NA,NA,NA
"confounded",10055,"Separate_intersect",2,2,0,98,0.02,0,1,24,6,1,NA,NA,NA,NA
"confounded",10055,"Separate_union",28,28,0,72,0.28,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10055,"Joint_Condition_only_harmonized",44,44,0,56,0.44,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10055,"Joint_Condition_Platform_harmonized",72,70,2,30,0.7,0.0277777777777778,0.972222222222222,NA,NA,0.0277777777777778,70,68,0,0
"confounded",10055,"Joint_Condition_only_raw",1972,72,1900,28,0.72,0.963488843813387,0.0365111561866126,NA,NA,NA,NA,NA,NA,NA
"confounded",10055,"Joint_Condition_Platform_raw",78,73,5,27,0.73,0.0641025641025641,0.935897435897436,NA,NA,NA,NA,NA,NA,NA
"confounded",10056,"Separate_intersect",0,0,0,100,0,NA,NA,9,0,1,NA,NA,NA,NA
"confounded",10056,"Separate_union",9,9,0,91,0.09,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10056,"Joint_Condition_only_harmonized",29,29,0,71,0.29,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10056,"Joint_Condition_Platform_harmonized",62,62,0,38,0.62,0,1,NA,NA,0,62,62,0,0
"confounded",10056,"Joint_Condition_only_raw",1979,79,1900,21,0.79,0.960080848913593,0.0399191510864073,NA,NA,NA,NA,NA,NA,NA
"confounded",10056,"Joint_Condition_Platform_raw",73,69,4,31,0.69,0.0547945205479452,0.945205479452055,NA,NA,NA,NA,NA,NA,NA
"confounded",10057,"Separate_intersect",0,0,0,100,0,NA,NA,3,20,1,NA,NA,NA,NA
"confounded",10057,"Separate_union",23,23,0,77,0.23,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10057,"Joint_Condition_only_harmonized",37,37,0,63,0.37,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10057,"Joint_Condition_Platform_harmonized",71,70,1,30,0.7,0.0140845070422535,0.985915492957746,NA,NA,0,71,70,0,0
"confounded",10057,"Joint_Condition_only_raw",1976,76,1900,24,0.76,0.961538461538462,0.0384615384615385,NA,NA,NA,NA,NA,NA,NA
"confounded",10057,"Joint_Condition_Platform_raw",79,76,3,24,0.76,0.0379746835443038,0.962025316455696,NA,NA,NA,NA,NA,NA,NA
"confounded",10058,"Separate_intersect",4,4,0,96,0.04,0,1,6,20,1,NA,NA,NA,NA
"confounded",10058,"Separate_union",22,22,0,78,0.22,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10058,"Joint_Condition_only_harmonized",35,35,0,65,0.35,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10058,"Joint_Condition_Platform_harmonized",60,57,3,43,0.57,0.05,0.95,NA,NA,0.0666666666666667,56,53,0,0
"confounded",10058,"Joint_Condition_only_raw",1979,79,1900,21,0.79,0.960080848913593,0.0399191510864073,NA,NA,NA,NA,NA,NA,NA
"confounded",10058,"Joint_Condition_Platform_raw",73,71,2,29,0.71,0.0273972602739726,0.972602739726027,NA,NA,NA,NA,NA,NA,NA
"confounded",10059,"Separate_intersect",2,2,0,98,0.02,0,1,3,14,1,NA,NA,NA,NA
"confounded",10059,"Separate_union",15,15,0,85,0.15,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10059,"Joint_Condition_only_harmonized",28,28,0,72,0.28,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10059,"Joint_Condition_Platform_harmonized",70,68,2,32,0.68,0.0285714285714286,0.971428571428571,NA,NA,0.0285714285714286,68,66,0,0
"confounded",10059,"Joint_Condition_only_raw",1979,79,1900,21,0.79,0.960080848913593,0.0399191510864073,NA,NA,NA,NA,NA,NA,NA
"confounded",10059,"Joint_Condition_Platform_raw",79,77,2,23,0.77,0.0253164556962025,0.974683544303797,NA,NA,NA,NA,NA,NA,NA
"confounded",10060,"Separate_intersect",5,5,0,95,0.05,0,1,25,11,1,NA,NA,NA,NA
"confounded",10060,"Separate_union",31,29,2,71,0.29,0.0645161290322581,0.935483870967742,NA,NA,NA,NA,NA,NA,NA
"confounded",10060,"Joint_Condition_only_harmonized",33,33,0,67,0.33,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10060,"Joint_Condition_Platform_harmonized",58,55,3,45,0.55,0.0517241379310345,0.948275862068966,NA,NA,0.0862068965517241,53,50,0,0
"confounded",10060,"Joint_Condition_only_raw",1977,77,1900,23,0.77,0.961052099140111,0.0389479008598887,NA,NA,NA,NA,NA,NA,NA
"confounded",10060,"Joint_Condition_Platform_raw",77,72,5,28,0.72,0.0649350649350649,0.935064935064935,NA,NA,NA,NA,NA,NA,NA
"confounded",10061,"Separate_intersect",0,0,0,100,0,NA,NA,8,4,1,NA,NA,NA,NA
"confounded",10061,"Separate_union",12,12,0,88,0.12,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10061,"Joint_Condition_only_harmonized",24,24,0,76,0.24,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10061,"Joint_Condition_Platform_harmonized",64,63,1,37,0.63,0.015625,0.984375,NA,NA,0,64,63,0,0
"confounded",10061,"Joint_Condition_only_raw",1978,78,1900,22,0.78,0.96056622851365,0.0394337714863498,NA,NA,NA,NA,NA,NA,NA
"confounded",10061,"Joint_Condition_Platform_raw",77,75,2,25,0.75,0.025974025974026,0.974025974025974,NA,NA,NA,NA,NA,NA,NA
"confounded",10062,"Separate_intersect",3,3,0,97,0.03,0,1,20,12,1,NA,NA,NA,NA
"confounded",10062,"Separate_union",29,28,1,72,0.28,0.0344827586206897,0.96551724137931,NA,NA,NA,NA,NA,NA,NA
"confounded",10062,"Joint_Condition_only_harmonized",44,44,0,56,0.44,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10062,"Joint_Condition_Platform_harmonized",69,67,2,33,0.67,0.0289855072463768,0.971014492753623,NA,NA,0.0434782608695652,66,64,0,0
"confounded",10062,"Joint_Condition_only_raw",1971,71,1900,29,0.71,0.963977676306443,0.0360223236935566,NA,NA,NA,NA,NA,NA,NA
"confounded",10062,"Joint_Condition_Platform_raw",75,72,3,28,0.72,0.04,0.96,NA,NA,NA,NA,NA,NA,NA
"confounded",10063,"Separate_intersect",0,0,0,100,0,NA,NA,3,5,1,NA,NA,NA,NA
"confounded",10063,"Separate_union",8,8,0,92,0.08,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10063,"Joint_Condition_only_harmonized",31,31,0,69,0.31,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10063,"Joint_Condition_Platform_harmonized",70,69,1,31,0.69,0.0142857142857143,0.985714285714286,NA,NA,0,70,69,0,0
"confounded",10063,"Joint_Condition_only_raw",1975,75,1900,25,0.75,0.962025316455696,0.0379746835443038,NA,NA,NA,NA,NA,NA,NA
"confounded",10063,"Joint_Condition_Platform_raw",78,76,2,24,0.76,0.0256410256410256,0.974358974358974,NA,NA,NA,NA,NA,NA,NA
"confounded",10064,"Separate_intersect",0,0,0,100,0,NA,NA,0,17,1,NA,NA,NA,NA
"confounded",10064,"Separate_union",17,16,1,84,0.16,0.0588235294117647,0.941176470588235,NA,NA,NA,NA,NA,NA,NA
"confounded",10064,"Joint_Condition_only_harmonized",33,33,0,67,0.33,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10064,"Joint_Condition_Platform_harmonized",76,73,3,27,0.73,0.0394736842105263,0.960526315789474,NA,NA,0,76,73,0,0
"confounded",10064,"Joint_Condition_only_raw",1975,75,1900,25,0.75,0.962025316455696,0.0379746835443038,NA,NA,NA,NA,NA,NA,NA
"confounded",10064,"Joint_Condition_Platform_raw",84,78,6,22,0.78,0.0714285714285714,0.928571428571429,NA,NA,NA,NA,NA,NA,NA
"confounded",10065,"Separate_intersect",4,4,0,96,0.04,0,1,15,8,1,NA,NA,NA,NA
"confounded",10065,"Separate_union",19,19,0,81,0.19,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10065,"Joint_Condition_only_harmonized",34,34,0,66,0.34,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10065,"Joint_Condition_Platform_harmonized",68,66,2,34,0.66,0.0294117647058824,0.970588235294118,NA,NA,0.0588235294117647,64,62,0,0
"confounded",10065,"Joint_Condition_only_raw",1984,84,1900,16,0.84,0.957661290322581,0.0423387096774194,NA,NA,NA,NA,NA,NA,NA
"confounded",10065,"Joint_Condition_Platform_raw",71,68,3,32,0.68,0.0422535211267606,0.957746478873239,NA,NA,NA,NA,NA,NA,NA
"confounded",10066,"Separate_intersect",1,1,0,99,0.01,0,1,15,11,1,NA,NA,NA,NA
"confounded",10066,"Separate_union",25,24,1,76,0.24,0.04,0.96,NA,NA,NA,NA,NA,NA,NA
"confounded",10066,"Joint_Condition_only_harmonized",36,36,0,64,0.36,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10066,"Joint_Condition_Platform_harmonized",70,65,5,35,0.65,0.0714285714285714,0.928571428571429,NA,NA,0.0142857142857143,69,64,0,0
"confounded",10066,"Joint_Condition_only_raw",1974,74,1900,26,0.74,0.962512664640324,0.0374873353596758,NA,NA,NA,NA,NA,NA,NA
"confounded",10066,"Joint_Condition_Platform_raw",76,72,4,28,0.72,0.0526315789473684,0.947368421052632,NA,NA,NA,NA,NA,NA,NA
"confounded",10067,"Separate_intersect",0,0,0,100,0,NA,NA,0,7,1,NA,NA,NA,NA
"confounded",10067,"Separate_union",7,7,0,93,0.07,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10067,"Joint_Condition_only_harmonized",27,27,0,73,0.27,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10067,"Joint_Condition_Platform_harmonized",70,67,3,33,0.67,0.0428571428571429,0.957142857142857,NA,NA,0,70,67,0,0
"confounded",10067,"Joint_Condition_only_raw",1979,79,1900,21,0.79,0.960080848913593,0.0399191510864073,NA,NA,NA,NA,NA,NA,NA
"confounded",10067,"Joint_Condition_Platform_raw",78,73,5,27,0.73,0.0641025641025641,0.935897435897436,NA,NA,NA,NA,NA,NA,NA
"confounded",10068,"Separate_intersect",8,8,0,92,0.08,0,1,23,19,1,NA,NA,NA,NA
"confounded",10068,"Separate_union",34,33,1,67,0.33,0.0294117647058824,0.970588235294118,NA,NA,NA,NA,NA,NA,NA
"confounded",10068,"Joint_Condition_only_harmonized",36,36,0,64,0.36,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10068,"Joint_Condition_Platform_harmonized",76,71,5,29,0.71,0.0657894736842105,0.934210526315789,NA,NA,0.105263157894737,68,63,0,0
"confounded",10068,"Joint_Condition_only_raw",1967,68,1899,32,0.68,0.965429588205389,0.0345704117946111,NA,NA,NA,NA,NA,NA,NA
"confounded",10068,"Joint_Condition_Platform_raw",82,75,7,25,0.75,0.0853658536585366,0.914634146341463,NA,NA,NA,NA,NA,NA,NA
"confounded",10069,"Separate_intersect",0,0,0,100,0,NA,NA,2,15,1,NA,NA,NA,NA
"confounded",10069,"Separate_union",17,16,1,84,0.16,0.0588235294117647,0.941176470588235,NA,NA,NA,NA,NA,NA,NA
"confounded",10069,"Joint_Condition_only_harmonized",36,36,0,64,0.36,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10069,"Joint_Condition_Platform_harmonized",72,68,4,32,0.68,0.0555555555555556,0.944444444444444,NA,NA,0,72,68,0,0
"confounded",10069,"Joint_Condition_only_raw",1974,75,1899,25,0.75,0.962006079027356,0.0379939209726444,NA,NA,NA,NA,NA,NA,NA
"confounded",10069,"Joint_Condition_Platform_raw",81,75,6,25,0.75,0.0740740740740741,0.925925925925926,NA,NA,NA,NA,NA,NA,NA
"confounded",10070,"Separate_intersect",1,1,0,99,0.01,0,1,6,10,1,NA,NA,NA,NA
"confounded",10070,"Separate_union",15,15,0,85,0.15,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10070,"Joint_Condition_only_harmonized",28,28,0,72,0.28,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10070,"Joint_Condition_Platform_harmonized",72,67,5,33,0.67,0.0694444444444444,0.930555555555556,NA,NA,0.0138888888888889,71,66,0,0
"confounded",10070,"Joint_Condition_only_raw",1971,71,1900,29,0.71,0.963977676306443,0.0360223236935566,NA,NA,NA,NA,NA,NA,NA
"confounded",10070,"Joint_Condition_Platform_raw",76,71,5,29,0.71,0.0657894736842105,0.934210526315789,NA,NA,NA,NA,NA,NA,NA
"confounded",10071,"Separate_intersect",0,0,0,100,0,NA,NA,6,0,1,NA,NA,NA,NA
"confounded",10071,"Separate_union",6,6,0,94,0.06,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10071,"Joint_Condition_only_harmonized",26,26,0,74,0.26,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10071,"Joint_Condition_Platform_harmonized",68,67,1,33,0.67,0.0147058823529412,0.985294117647059,NA,NA,0,68,67,0,0
"confounded",10071,"Joint_Condition_only_raw",1972,72,1900,28,0.72,0.963488843813387,0.0365111561866126,NA,NA,NA,NA,NA,NA,NA
"confounded",10071,"Joint_Condition_Platform_raw",75,73,2,27,0.73,0.0266666666666667,0.973333333333333,NA,NA,NA,NA,NA,NA,NA
"confounded",10072,"Separate_intersect",2,2,0,98,0.02,0,1,18,7,1,NA,NA,NA,NA
"confounded",10072,"Separate_union",23,23,0,77,0.23,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10072,"Joint_Condition_only_harmonized",31,31,0,69,0.31,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10072,"Joint_Condition_Platform_harmonized",69,67,2,33,0.67,0.0289855072463768,0.971014492753623,NA,NA,0.0289855072463768,67,65,0,0
"confounded",10072,"Joint_Condition_only_raw",1981,81,1900,19,0.81,0.959111559818274,0.0408884401817264,NA,NA,NA,NA,NA,NA,NA
"confounded",10072,"Joint_Condition_Platform_raw",75,74,1,26,0.74,0.0133333333333333,0.986666666666667,NA,NA,NA,NA,NA,NA,NA
"confounded",10073,"Separate_intersect",2,2,0,98,0.02,0,1,5,23,1,NA,NA,NA,NA
"confounded",10073,"Separate_union",26,25,1,75,0.25,0.0384615384615385,0.961538461538462,NA,NA,NA,NA,NA,NA,NA
"confounded",10073,"Joint_Condition_only_harmonized",31,31,0,69,0.31,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10073,"Joint_Condition_Platform_harmonized",71,66,5,34,0.66,0.0704225352112676,0.929577464788732,NA,NA,0.028169014084507,69,64,0,0
"confounded",10073,"Joint_Condition_only_raw",1980,80,1900,20,0.8,0.95959595959596,0.0404040404040404,NA,NA,NA,NA,NA,NA,NA
"confounded",10073,"Joint_Condition_Platform_raw",80,73,7,27,0.73,0.0875,0.9125,NA,NA,NA,NA,NA,NA,NA
"confounded",10074,"Separate_intersect",1,1,0,99,0.01,0,1,21,11,1,NA,NA,NA,NA
"confounded",10074,"Separate_union",31,30,1,70,0.3,0.032258064516129,0.967741935483871,NA,NA,NA,NA,NA,NA,NA
"confounded",10074,"Joint_Condition_only_harmonized",37,37,0,63,0.37,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10074,"Joint_Condition_Platform_harmonized",65,62,3,38,0.62,0.0461538461538462,0.953846153846154,NA,NA,0.0153846153846154,64,61,0,0
"confounded",10074,"Joint_Condition_only_raw",1982,82,1900,18,0.82,0.958627648839556,0.041372351160444,NA,NA,NA,NA,NA,NA,NA
"confounded",10074,"Joint_Condition_Platform_raw",74,73,1,27,0.73,0.0135135135135135,0.986486486486487,NA,NA,NA,NA,NA,NA,NA
"confounded",10075,"Separate_intersect",0,0,0,100,0,NA,NA,0,0,1,NA,NA,NA,NA
"confounded",10075,"Separate_union",0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"confounded",10075,"Joint_Condition_only_harmonized",32,32,0,68,0.32,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10075,"Joint_Condition_Platform_harmonized",70,69,1,31,0.69,0.0142857142857143,0.985714285714286,NA,NA,0,70,69,0,0
"confounded",10075,"Joint_Condition_only_raw",1980,80,1900,20,0.8,0.95959595959596,0.0404040404040404,NA,NA,NA,NA,NA,NA,NA
"confounded",10075,"Joint_Condition_Platform_raw",74,71,3,29,0.71,0.0405405405405405,0.959459459459459,NA,NA,NA,NA,NA,NA,NA
"confounded",10076,"Separate_intersect",11,11,0,89,0.11,0,1,19,23,1,NA,NA,NA,NA
"confounded",10076,"Separate_union",31,31,0,69,0.31,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10076,"Joint_Condition_only_harmonized",39,39,0,61,0.39,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10076,"Joint_Condition_Platform_harmonized",68,65,3,35,0.65,0.0441176470588235,0.955882352941177,NA,NA,0.161764705882353,57,54,0,0
"confounded",10076,"Joint_Condition_only_raw",1979,79,1900,21,0.79,0.960080848913593,0.0399191510864073,NA,NA,NA,NA,NA,NA,NA
"confounded",10076,"Joint_Condition_Platform_raw",79,73,6,27,0.73,0.0759493670886076,0.924050632911392,NA,NA,NA,NA,NA,NA,NA
"confounded",10077,"Separate_intersect",5,5,0,95,0.05,0,1,10,36,1,NA,NA,NA,NA
"confounded",10077,"Separate_union",41,40,1,60,0.4,0.024390243902439,0.975609756097561,NA,NA,NA,NA,NA,NA,NA
"confounded",10077,"Joint_Condition_only_harmonized",42,42,0,58,0.42,0,1,NA,NA,NA,NA,NA,NA,NA
"confounded",10077,"Joint_Condition_Platform_harmonized",72,67,5,33,0.67,0.0694444444444444,0.930555555555556,NA,NA,0.0694444444444444,67,62,0,0
"confounded",10077,"Joint_Condition_only_raw",1978,78,1900,22,0.78,0.96056622851365,0.0394337714863498,NA,NA,NA,NA,NA,NA,NA
"confounded",10077,"Joint_Condition_Platform_raw",75,69,6,31,0.69,0.08,0.92,NA,NA,NA,NA,NA,NA,NA
"confounded",10078,"Separate_intersect",5,5,0,95,0.05,0,1,10,19,1,NA,NA,NA,NA
"confounded",10078,"Separate_union",24,24,0,76,0.24,0,1,NA,NA,NA,NA,NA,NA,NA
