"draw","MinMedian","Jaccard_vs_equal","Ec","Ep","Em","Es","Ex"
1,0.91963727329581,0.739130434782609,0.0690273326492641,0.121914292028787,0.171085276571059,0.562552175007863,0.0754209237430268
2,0.922645519190235,0.904761904761905,0.149805417241773,0.000564267320594524,0.506295526502639,0.200071886137788,0.143262902797206
3,0.91963727329581,0.739130434782609,0.0764263837232227,0.165492289602269,0.0198729325902218,0.578813495513774,0.159394898570512
4,0.91963727329581,0.739130434782609,0.00533358826927709,0.313946256327735,0.0964633285508389,0.568122667436709,0.0161341594154397
5,0.923583605494175,1,0.0952965323675545,0.0269869681343625,0.736355183441227,0.0815946384196112,0.0597666776372453
6,0.930555555555556,0.538461538461538,0.334265978839291,0.0179009614680929,0.363948375036541,0.00461627060098235,0.279268414055093
7,0.91963727329581,0.739130434782609,0.0477699892767546,0.226339786502079,0.404483474978635,0.271264990513056,0.0501417587294756
8,0.930555555555556,0.6,0.21626613916714,0.421046711417482,0.22289939626138,0.0369845409704004,0.102803212183598
9,0.926670025247261,0.739130434782609,0.293031238536324,0.270634176862187,0.238489870091572,0.141321037620264,0.056523676889654
10,0.926670025247261,0.904761904761905,0.193252978513007,0.169124958938534,0.391569424543315,0.143075220292952,0.102977417712192
11,0.930555555555556,0.538461538461538,0.186615160155199,0.244056151401364,0.328860094449837,0.0045370603706855,0.235931533622915
12,0.930555555555556,0.666666666666667,0.501396813953696,0.00881029139316307,0.0679418376294559,0.189011944665171,0.232839112358515
13,0.91963727329581,0.739130434782609,0.0268992704193205,0.148068974567538,0.164249992561034,0.570453655414874,0.090328107037233
14,0.91963727329581,0.666666666666667,0.0138424058923696,0.20546780866902,0.28745513551702,0.271005262427031,0.222229387494559
15,0.932098765432099,0.6,0.207193293845199,0.118758292439655,0.0987708722188394,0.0439486721259632,0.531328869370343
16,0.923583605494175,0.904761904761905,0.144008157675519,0.0563791179460241,0.2887631193912,0.205832784155358,0.305016820831899
17,0.91963727329581,0.739130434782609,0.161009287793546,0.102075182635355,0.0225164839443184,0.691590511208609,0.0228085344181713
18,0.923583605494175,0.904761904761905,0.164218854418655,0.0381042299035218,0.0528180636597601,0.327939667463755,0.416919184554308
19,0.926670025247261,0.904761904761905,0.281741593432228,0.219120635739306,0.14300157894923,0.205383291923229,0.150752899956008
20,0.91963727329581,0.739130434782609,0.179507954804776,0.0205147065832441,0.0842316950276401,0.68898737372141,0.0267582698629302
21,0.926670025247261,0.666666666666667,0.691193442717787,0.131851891319604,0.0462627218807999,0.112856788295667,0.0178351557861423
22,0.91963727329581,0.739130434782609,0.109282559034179,0.605974812948209,0.0474065900625103,0.218930005737876,0.0184060322172263
23,0.926670025247261,0.739130434782609,0.428664407645367,0.0557281285040093,0.147871456032244,0.205363678819101,0.162372328999278
24,0.938491649873764,0.538461538461538,0.0580451936125684,0.337074669854306,0.0415528948033062,0.0359221249149385,0.527405116814881
25,0.935185185185186,0.6,0.190369550713311,0.0540780713138753,0.0982730877775108,0.0398083137871084,0.617470976408194
26,0.921200750469043,0.818181818181818,0.133692007666818,0.448001008955572,0.139439818873022,0.209048719652246,0.0698184448523415
27,0.938271604938272,0.538461538461538,0.190391712755187,0.0217789494326025,0.00484359408858257,0.0459074765788942,0.737078267144734
28,0.926670025247261,0.904761904761905,0.0569988772486559,0.0890489703432237,0.50528185209119,0.0997502370262087,0.248920063290721
29,0.921200750469043,0.818181818181818,0.0878946612021875,0.223941332924802,0.295506887839967,0.196317202298852,0.196339915734191
30,0.926670025247261,0.904761904761905,0.355344621775253,0.0314738765537353,0.0157000168269753,0.198068563078131,0.399412921765905
31,0.922645519190235,0.904761904761905,0.104438982462012,0.484555650629587,0.0211175943902751,0.19299020296574,0.196897569552387
32,0.926670025247261,0.6,0.43131412930457,0.0940512693555805,0.448655778228114,0.0193355029173967,0.00664332019433897
33,0.91963727329581,0.739130434782609,0.0788397474246686,0.0969239725643469,0.116725488307388,0.471423982811625,0.236086808891972
34,0.923583605494175,1,0.0863311315118864,0.19728416985158,0.460202718957869,0.124504046407822,0.131677933270842
35,0.930555555555556,0.6,0.553858314867724,0.299647768014928,0.0425180733965807,0.0257700126441061,0.0782058310766616
36,0.926670025247261,0.904761904761905,0.118406516464041,0.196261742696924,0.342029997478752,0.114589274285142,0.228712469075142
37,0.91963727329581,0.666666666666667,0.00415310529084425,0.00701992965476047,0.153813102449759,0.606918445846708,0.228095416757928
38,0.926670025247261,0.904761904761905,0.175213858936066,0.207041730639452,0.354762484938676,0.142148922124188,0.120833003361618
