"Method","Med_AUC_RNA_heldout","MinMedian_both"
"D3_ExTrain_equal",0.936728395061728,0.933906525573192
"D3_ExTrain_locked_from_D1",0.941358024691358,0.939814814814815
"D3_noEx_equal",0.933641975308642,0.930555555555556
"D3_noEx_locked_from_D1",0.933641975308642,0.930555555555556
"D3_limma_proxy",0.945987654320988,0.945987654320988
"D3_random",0.753086419753086,0.7211860670194
