"Panel","k_requested","k_used","Median_gene_AUC_on_RNAseq","Median_gene_AUC_on_Microarray","Transfer_RF_Micro_to_RNA","Transfer_glmnet_Micro_to_RNA","Transfer_RF_RNA_to_Micro","Transfer_glmnet_RNA_to_Micro","Transfer_RF_mean"
"Merged_limma_topk",20,19,0.884259259259259,0.966228893058161,0.952160493827161,0.972222222222222,0.966854283927455,0.82614133833646,0.959507388877308
"Separate_intersect_topk",20,19,0.884259259259259,0.966228893058161,0.952160493827161,0.972222222222222,0.966854283927455,0.82614133833646,0.959507388877308
"Same_in_both_topk",20,19,0.884259259259259,0.966228893058161,0.952160493827161,0.972222222222222,0.966854283927455,0.82614133833646,0.959507388877308
"Only_in_merged_topk",20,13,0.845679012345679,0.954346466541589,0.952160493827161,0.972222222222222,0.966854283927455,0.82614133833646,0.959507388877308
"Only_in_separate_topk",17,14,0.790123456790123,0.759693558474046,0.952160493827161,0.972222222222222,0.966854283927455,0.82614133833646,0.959507388877308
"JPCT_consensus_overlap",19,19,0.941358024691358,0.92432770481551,0.952160493827161,0.972222222222222,0.966854283927455,0.82614133833646,0.959507388877308
"Random_matched_k",20,20,0.658950617283951,0.667604752970607,0.952160493827161,0.972222222222222,0.966854283927455,0.82614133833646,0.959507388877308
