"Perm","n_genes_BIOS_ge_thresh","mean_BIOS_topk","n_genes_limma_ge_thresh"
1,0,0.644500722121885,0
2,0,0.593530043243982,0
3,0,0.628985200130094,0
4,0,0.61048010477723,0
5,0,0.616894401360739,0
6,0,0.623789643415938,0
7,0,0.66341669768547,0
8,0,0.640713386441491,0
9,0,0.587334707161969,0
10,0,0.583529119493206,0
11,0,0.621384166833167,0
12,0,0.621005052541527,0
13,0,0.65950059645921,0
14,0,0.620212221245862,0
15,0,0.621378118214132,0
16,0,0.628622754085505,0
17,0,0.658000477248734,0
18,0,0.6163287416991,0
19,0,0.594960016770358,0
20,0,0.627117150446614,0
21,0,0.592370852426665,0
22,0,0.641968239139989,0
23,0,0.638415158997257,0
24,0,0.615024948551723,0
25,0,0.586690010952471,0
26,0,0.670425641967659,0
27,0,0.613546644282065,0
28,0,0.652203385306753,0
29,0,0.609472036036108,0
30,0,0.669548354818297,0
31,0,0.617230421637795,0
32,0,0.611880725554742,0
33,0,0.626176652769025,0
34,0,0.641071886001069,0
35,0,0.632938447384078,0
36,0,0.645848011400067,0
37,0,0.630551999202523,0
38,0,0.628500458047261,0
39,0,0.660337065863827,0
40,0,0.630496740128476,0
41,0,0.606579026378928,0
42,1,0.650546032177778,0
43,0,0.571501206966262,0
44,0,0.635010437305892,0
45,0,0.595444362744428,0
46,0,0.620182079530192,0
47,0,0.638047532690867,0
48,0,0.633348798313002,0
49,0,0.641290856433111,0
50,0,0.679972875092858,0
51,0,0.59051985935374,0
52,0,0.614070027017924,0
53,1,0.679475968012411,0
54,0,0.616416528402726,0
55,0,0.635831290923286,0
56,0,0.628641248788633,0
57,0,0.598805954807343,0
58,0,0.647113733322233,0
59,0,0.593549221886923,0
60,0,0.637692388165315,0
61,0,0.641696763039345,0
62,0,0.619038305943589,0
63,0,0.658819527486531,0
64,0,0.638603866475382,0
65,0,0.588820727790577,0
66,0,0.646011017911436,0
67,0,0.61762361217039,0
68,0,0.618548071831906,0
69,0,0.662864855950909,0
70,1,0.675456455614062,0
71,0,0.634039490953914,0
72,0,0.674352322536591,0
73,0,0.669673858463472,0
74,0,0.666182489423268,0
75,0,0.658711847383119,0
76,0,0.662531862546603,0
77,0,0.637714843312251,0
78,0,0.636431606642988,0
79,0,0.627584081460933,0
80,0,0.623166595245396,0
81,0,0.676934466446453,0
82,0,0.619347463126794,0
83,0,0.576861669554558,0
84,0,0.63191588307092,0
85,0,0.650565878170824,0
86,0,0.643377476795095,0
87,0,0.674761337515314,0
88,0,0.593484358180452,0
89,0,0.638008320050591,0
90,0,0.591297181704862,0
91,0,0.625243834508862,0
92,0,0.626371243255774,0
93,0,0.597379425885144,0
94,0,0.656813822481196,0
95,0,0.654764709083393,0
96,0,0.668803113582572,0
97,0,0.624110214671787,0
98,0,0.620122034771362,0
99,0,0.616965111417166,0
100,0,0.64318260150302,0
