"Gene","adjP_Condition","Ec","Ep","Em","Es","Ex","AUC_Microarray","AUC_RNAseq","Ex_train"
"IRF6",1.48181255540434e-06,0.0227104033162075,0.999976171250787,0,0,0.722772277227723,0.975,0.827160493827161,0.956611570247934
"PTPRC",8.56700664732884e-06,0.0274086195047026,0.99998356253745,0,0,0.569306930693069,0.877380952380952,0.731481481481481,0.787190082644628
"COBL",1.64987216990157e-06,0.0187861452783841,0.9999709074556,0,0,0.628712871287129,0.873809523809524,0.768518518518518,0.78099173553719
"SLAMF6",8.73878584822112e-05,0.0135351520646853,0.999971726542621,0,0,0.603960396039604,0.845833333333333,0.753086419753086,0.732438016528926
"RHBDL2",4.89752046804296e-11,0.133133157444385,0.999994621977108,1,0.33,0.702970297029703,0.997619047619048,0.814814814814815,0.995867768595041
"FRAS1",0.0344494859253722,0.00357951787390859,0.999960525369473,1,0.33,0.312588401697313,0.571428571428571,0.697530864197531,0.256198347107438
"KCNE4",0.000198085652984161,0.0153775061607993,0.999977803887046,0,0,0.574186704384724,0.73452380952381,0.811728395061728,0.539256198347108
"CPA6",0.000436490568806923,0.0255534240042786,0.999989058084379,0,0,0.559405940594059,0.753571428571429,0.725308641975309,0.572314049586777
"WBP2NL",0.0292150439305604,0.00582304298295188,0.999975468353065,0,0,0,0.742857142857143,0.376543209876543,0.553719008264463
"MTBP",7.2841850904588e-08,0.0384209489001786,0.999983469986285,0,0,0.717821782178218,0.838095238095238,0.824074074074074,0.71900826446281
"ACVR1C",1.25259903558389e-08,0.0594829469614385,0.999988918315379,0,0,0.777227722772277,0.938690476190476,0.861111111111111,0.893595041322314
"TIGD4",3.34566933072102e-05,0.0193628441576169,0.999978799993697,0,0,0.608557284299859,0.755952380952381,0.817901234567901,0.576446280991736
"ATP6V1C2",2.11019709431363e-05,0.0314741420081977,0.999987301283003,0,0,0.717821782178218,0.85297619047619,0.824074074074074,0.744834710743802
"TAGAP",0.000287636892943586,0.00978669658689739,0.999965346095025,0,0,0.600919377652051,0.751190476190476,0.777777777777778,0.568181818181818
"STON2",0.000411831982315289,0.00951251163418088,0.999965959320732,0,0,0.549504950495049,0.882142857142857,0.719135802469136,0.795454545454546
"BTBD16",0.0538135127409378,0.00442079428741869,0.999973041667588,1,0.33,0.193246110325318,0.49702380952381,0.830246913580247,0.127066115702479
"TSPEAR",0.0027293656661862,0.00880491002761102,0.999972617847462,1,0.33,0.231435643564356,0.520833333333333,0.805555555555556,0.168388429752066
"MIPOL1",0.0154845081047473,0.00648536632368134,0.999973862257001,0,0,0.419519094766619,0.638095238095238,0.820987654320988,0.371900826446281
"ABCC13",1.34872198939676e-18,0.200899565759487,0.999993437230634,1,0.33,0.727722772277228,1,0.830246913580247,1
"TRPV3",8.79843711660154e-07,0.0340878420256002,0.999984306636488,1,0.33,0.382284299858557,0.614880952380952,0.904320987654321,0.331611570247934
"CACNG5",0.000704259473388245,0.0111432501310993,0.999973473123551,0,0,0.307814710042433,0.568452380952381,0.87037037037037,0.25103305785124
"ACACB",2.61183932461698e-13,0.07853533690655,0.999986100421759,0,0,0.777227722772277,0.963690476190476,0.861111111111111,0.93698347107438
"ANLN",5.644390366806e-21,0.215758759044249,0.999992933120812,1,0.33,0.717821782178218,0.995238095238095,0.824074074074074,0.991735537190083
"TNFRSF10A",7.16408446020211e-07,0.0227192920686228,0.99997475144621,0,0,0.589108910891089,0.932142857142857,0.743827160493827,0.882231404958678
"FLCN",1.61014493997522e-06,0.016971865532962,0.999967455992653,0,0,0.668316831683168,0.838690476190476,0.79320987654321,0.72004132231405
"JMJD1C-AS1",0.00965322612281841,0.00585719301970625,0.999967173951613,0,0,0.386138613861386,0.75952380952381,0.617283950617284,0.582644628099174
"LRRC7",0.00144705155809625,0.00992491535474648,0.999973142272414,1,0.33,0.257213578500707,0.536904761904762,0.932098765432099,0.196280991735537
"PPP1R3B",0.000532843902176976,0.00902919174286869,0.99996527386654,0,0,0.425742574257426,0.853571428571429,0.641975308641975,0.745867768595041
"SLC9A7",5.5858897707812e-05,0.0201000818162145,0.999980812803104,0,0,0.574257425742574,0.833333333333333,0.734567901234568,0.710743801652893
"IGSF3",5.46337574007029e-14,0.056419964906761,0.999978395560875,0,0,0.856435643564356,0.976190476190476,0.910493827160494,0.958677685950413
"RFX6",0.00765376459185699,0.0144199894517617,0.999987487271692,0,0,0.36987270155587,0.607142857142857,0.799382716049383,0.318181818181818
"UCN3",0.158780071226666,0.00185763398690669,0.999958305571231,1,0.33,0.472984441301273,0.671428571428571,0.830246913580247,0.429752066115703
"SENP8",2.11437666401563e-07,0.0263164764798242,0.999976484108281,0,0,0.445544554455446,0.976190476190476,0.654320987654321,0.958677685950413
"GRHL1",7.66940026791476e-13,0.113594725436049,0.999991614859785,1,0.33,0.846534653465347,0.941666666666667,0.904320987654321,0.898760330578512
"CACNA2D4",3.75270670711439e-05,0.0170203905225379,0.999975826892122,0,0,0.673267326732673,0.881547619047619,0.796296296296296,0.794421487603306
"SLC2A13",2.07556980153874e-18,0.138713291343538,0.999989471132187,0,0,0.752475247524752,0.994047619047619,0.845679012345679,0.989669421487603
"CARD16",3.11347091163084e-08,0.0414749510356914,0.999983961970183,0,0,0.579207920792079,0.969047619047619,0.737654320987654,0.946280991735537
"CREG2",0.000787660319630966,0.0157743620603269,0.999982339749414,1,0.33,0.463437057991513,0.66547619047619,0.827160493827161,0.419421487603306
"DTD1",5.32072728629746e-11,0.0529329457707667,0.99998261340391,0,0,0.688118811881188,0.964285714285714,0.805555555555556,0.93801652892562
"KLHDC1",1.72078136596056e-05,0.0192844390907939,0.999977161843793,0,0,0.504950495049505,0.923214285714286,0.691358024691358,0.866735537190083
"KCNH8",2.09904197533414e-06,0.0359413088220347,0.999986331254975,1,0.33,0.698019801980198,0.869047619047619,0.811728395061728,0.772727272727273
"CADM2",0.000227773342754489,0.0155207965784238,0.999978435013956,1,0.33,0.353642149929279,0.59702380952381,0.771604938271605,0.300619834710744
"HDAC9",5.53854515917188e-13,0.0826507454137918,0.999987328274745,0,0,0.727722772277228,0.975,0.830246913580247,0.956611570247934
"TMEM67",2.97443248562868e-09,0.043750050520055,0.99998253123282,0,0,0.846534653465347,0.938095238095238,0.904320987654321,0.892561983471074
"HS6ST2",3.78131966777644e-05,0.0478722745386957,0.999993084351473,1,0.33,0.51980198019802,0.845238095238095,0.700617283950617,0.731404958677686
"LIN9",5.57640771513842e-07,0.0271917667078864,0.9999789190347,0,0,0.628712871287129,0.888095238095238,0.768518518518518,0.805785123966942
"ZNF781",0.00682050327538465,0.00665819443583217,0.999969102708021,0,0,0.400990099009901,0.778571428571429,0.626543209876543,0.615702479338843
"PROM2",2.27605223033696e-09,0.0657464295541778,0.999989061519864,1,0.33,0.633663366336634,0.954761904761905,0.771604938271605,0.921487603305785
"TSNARE1",0.000427393127481326,0.0111938165112343,0.999971609944054,0,0,0.450495049504951,0.773809523809524,0.657407407407407,0.607438016528926
"CAPN13",7.5932694327265e-12,0.125277836258257,0.999993456894578,1,0.33,0.826732673267327,0.945238095238095,0.891975308641975,0.90495867768595
"STMN1",4.37247686670882e-09,0.0369380441062977,0.999979297637063,0,0,0.594059405940594,0.942857142857143,0.746913580246914,0.900826446280992
"B3GNT6",9.07924743864145e-08,0.0943350833597706,0.999994909512844,1,0.33,0.52970297029703,0.919047619047619,0.70679012345679,0.859504132231405
"DENND1B",4.62122644366457e-09,0.0393518109665225,0.999980789449275,0,0,0.717821782178218,0.930952380952381,0.824074074074074,0.880165289256198
"BCL2L14",0.000116728237525689,0.0154212124490773,0.999976340972173,1,0.33,0.599009900990099,0.844047619047619,0.75,0.729338842975207
"PTCHD1",8.08026550521953e-05,0.0226832444154294,0.999984020865186,1,0.33,0.639108910891089,0.775,0.780864197530864,0.609504132231405
"RUSC1-AS1",0.00473601600841714,0.00686666926478675,0.999967744807909,0,0,0.574257425742574,0.767857142857143,0.734567901234568,0.597107438016529
"AXDND1",0.000333910577976548,0.0268870879961936,0.999989284049499,0,0,0.465346534653465,0.844047619047619,0.666666666666667,0.729338842975207
"CD200R1",6.25570572889453e-07,0.0289032611256583,0.999980498735811,1,0.33,0.698019801980198,0.865476190476191,0.811728395061728,0.766528925619835
"SEC16B",4.29868163988817e-05,0.0161830174271457,0.999974817106136,0,0,0.628712871287129,0.791071428571429,0.768518518518518,0.637396694214876
"TNFRSF13C",0.0485363971207592,0.00338992998662908,0.999962693786739,1,0.33,0.2495756718529,0.532142857142857,0.796296296296296,0.18801652892562
"CAMK2N2",8.05462448568835e-05,0.0156332315969241,0.999975636001617,0,0,0.504950495049505,0.814285714285714,0.691358024691358,0.677685950413223
"KCNG3",6.25120949632703e-05,0.0229499228160367,0.999983736723138,1,0.33,0.638613861386139,0.779761904761905,0.774691358024691,0.617768595041322
"FOXP2",4.94276133080189e-05,0.0228266913130767,0.999983174954812,1,0.33,0.475247524752475,0.858333333333333,0.672839506172839,0.754132231404959
"B4GALNT2",1.26664118146036e-12,0.216552385797567,0.999996938343135,1,0.33,0.663366336633663,0.997619047619048,0.790123456790123,0.995867768595041
"IL23R",0.000418213257779052,0.0156580680832599,0.999980381753942,0,0,0.445544554455446,0.821428571428571,0.654320987654321,0.690082644628099
"CD276",1.14723981988002e-11,0.0508504231530307,0.999980446226441,0,0,0.762376237623762,0.930952380952381,0.851851851851852,0.880165289256198
"FIGNL1",9.04876724225691e-15,0.0838924027297021,0.999985361675761,0,0,0.673267326732673,0.992857142857143,0.796296296296296,0.987603305785124
"PCDH10",0.00364748429725805,0.00781997897263681,0.999970500103141,1,0.33,0.299222065063649,0.563095238095238,0.765432098765432,0.241735537190083
"PDE8A",1.30397408932056e-24,0.181527310160642,0.999989049200049,0,0,0.866336633663366,1,0.916666666666667,1
"NLRP6",0.0314892471924566,0.00534725998257661,0.9999736815431,0,0,0.207920792079208,0.719642857142857,0.506172839506173,0.513429752066116
"AKNAD1",0.0175651989800265,0.00510775405995141,0.99996721658983,0,0,0.158875530410184,0.475595238095238,0.83641975308642,0.0898760330578512
"ZIC5",0.000178182243374826,0.0244318076524317,0.999986797184219,0,0,0.502475247524752,0.765476190476191,0.689814814814815,0.59297520661157
"LRRC15",5.13584193711038e-08,0.0502036821329155,0.999987647152755,1,0.33,0.742574257425742,0.869047619047619,0.839506172839506,0.772727272727273
"B3GNT7",6.600185157957e-09,0.102463638845799,0.999994375318726,1,0.33,0.599009900990099,0.964880952380952,0.75,0.93904958677686
"CNPY3",1.09863991331924e-11,0.0446313870613729,0.999977316756152,0,0,0.663366336633663,0.985714285714286,0.790123456790123,0.975206611570248
"LINC00471",0.00763164085491417,0.00741912216423994,0.999973214799007,0,0,0.465346534653465,0.696428571428571,0.666666666666667,0.473140495867769
"WFDC10B",0.000893076184664404,0.0189771345162804,0.999986053957666,0,0,0.589108910891089,0.757142857142857,0.743827160493827,0.578512396694215
"RECQL4",6.01884395407584e-09,0.0499640389993574,0.999985657100065,0,0,0.648514851485149,0.903571428571429,0.780864197530864,0.832644628099174
"SYTL5",0.00171764636451184,0.0206815317249732,0.999988830875763,0,0,0.465346534653465,0.846428571428571,0.666666666666667,0.733471074380165
"SYN2",0.00418940030705428,0.00644601739630964,0.999964620064618,1,0.33,0.402333804809052,0.627380952380952,0.780864197530864,0.353305785123967
"HTR3C",0.00149207456166576,0.0105351383635489,0.999974978211639,0,0,0.259123055162659,0.538095238095238,0.808641975308642,0.198347107438017
"WNT9A",0.041772831164047,0.00345580012892739,0.999961512913064,1,0.33,0.408415841584158,0.689285714285714,0.631172839506173,0.460743801652893
"GAL3ST2",0.0277279552168491,0.00669018154993433,0.999978635085928,0,0,0.444342291371994,0.653571428571429,0.688271604938272,0.398760330578512
"TRIM40",1.28949086743124e-06,0.0544918475919729,0.999991467785596,1,0.33,0.554455445544554,0.844047619047619,0.722222222222222,0.729338842975207
"TIGD1",1.78785864280263e-06,0.018819940369692,0.999971155158494,0,0,0.683168316831683,0.861904761904762,0.802469135802469,0.760330578512397
"CCDC69",0.000151857462516257,0.0237088745251674,0.999986014055743,1,0.33,0.702970297029703,0.863095238095238,0.814814814814815,0.762396694214876
"KBTBD6",1.72587395392586e-12,0.0604753102798414,0.999982570805269,0,0,0.722772277227723,0.979761904761905,0.827160493827161,0.964876033057851
"CDK8",6.07535306545081e-07,0.0249183899880274,0.999976912854707,0,0,0.752475247524752,0.886309523809524,0.845679012345679,0.802685950413223
"PTK6",0.00103959631911078,0.0112058386652337,0.999975189496929,0,0,0.574257425742574,0.830952380952381,0.734567901234568,0.706611570247934
"NKD1",2.68175016785867e-09,0.0918789331993786,0.999992990273689,1,0.33,0.52970297029703,0.989285714285714,0.70679012345679,0.981404958677686
"CLSPN",4.0686654594427e-06,0.0226685071457541,0.999978114447216,0,0,0.638613861386139,0.775,0.774691358024691,0.609504132231405
"WDR62",5.55233431665667e-06,0.0192304726177257,0.999974460781559,0,0,0.57036775106082,0.732142857142857,0.808641975308642,0.535123966942149
"PLXNA3",2.06552291888686e-05,0.0190346251642494,0.999977256957159,0,0,0.514851485148515,0.911904761904762,0.697530864197531,0.847107438016529
"RANBP3L",0.975206609222454,7.03296673399949e-07,0.998406798523414,1,0.33,0.187517680339463,0.493452380952381,0.512345679012346,0.120867768595041
"ATP6V0D2",1.01808572080922e-07,0.0396422879063972,0.999984436755791,1,0.33,0.625742574257426,0.766666666666667,0.864197530864197,0.59504132231405
"LHX4",0.000226333236811025,0.00996295697758161,0.999964929497394,0,0,0.534653465346535,0.805357142857143,0.709876543209877,0.662190082644628
"CEP19",2.49720988192681e-05,0.0182985950127674,0.999976701516438,0,0,0.651520509193776,0.782738095238095,0.888888888888889,0.622933884297521
"ADPRHL1",0.0033186069867814,0.00669686019814643,0.999964486891787,0,0,0.366336633663366,0.805952380952381,0.604938271604938,0.663223140495868
"CDH24",0.000953272409501255,0.00864964217972926,0.999966642715206,0,0,0.492079207920792,0.683333333333333,0.759259259259259,0.450413223140496
"GRIK5",0.775505863084329,4.0893890845037e-05,0.999724650474595,1,0.33,0.50990099009901,0.732142857142857,0.694444444444444,0.535123966942149
"LRRN4",0.0266640761377528,0.00472208688242152,0.999968278991545,0,0,0.478712871287129,0.675,0.734567901234568,0.435950413223141
"ZNF777",1.18464804039446e-09,0.0350089018359678,0.999976346268449,0,0,0.455445544554455,0.995238095238095,0.660493827160494,0.991735537190083
"PDE5A",1.49631380443797e-13,0.0890904820988421,0.999987774983322,0,0,0.678217821782178,0.989285714285714,0.799382716049383,0.981404958677686
"SH2D1B",0.000381370964510326,0.0144358758865247,0.999978215595031,1,0.33,0.535997171145686,0.710714285714286,0.762345679012346,0.497933884297521
"SSTR3",0.0675412799174559,0.0025659299016476,0.999955637727664,1,0.33,0.301131541725601,0.564285714285714,0.873456790123457,0.243801652892562
"UMODL1",0.0246448352087047,0.00883176859080346,0.999983848105244,1,0.33,0.420792079207921,0.698809523809524,0.638888888888889,0.477272727272727
